City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
1,1,Hermanus,-34.4187,19.2345,68.81,76,97,13.62,ZA,2022-03-08 05:40:27,Misty Waves Boutique Hotel
4,4,Saint-Joseph,-21.3667,55.6167,83.82,79,99,10.96,RE,2022-03-08 05:40:28,"""Plantation Bed and Breakfast"
5,5,Talara,-4.5772,-81.2719,76.77,80,55,1.9,PE,2022-03-08 05:40:29,Hostal Oro Negro
7,7,Kampene,-3.6,26.6667,70.29,93,49,1.48,CD,2022-03-08 05:40:33,
8,8,Sabha,27.0377,14.4283,61.97,44,1,21.14,LY,2022-03-08 05:40:37,Foundation Taaj Asala for Historical Research and Archeology
9,9,Suez,29.9737,32.5263,61.38,58,96,6.85,EG,2022-03-08 05:40:37,Green House
10,10,Rikitea,-23.1203,-134.9692,79.47,74,3,13.8,PF,2022-03-08 05:40:38,People ThankYou
11,11,Bredasdorp,-34.5322,20.0403,69.12,68,100,6.91,ZA,2022-03-08 05:40:38,Bredasdorp Country Manor
13,13,Carnarvon,-24.8667,113.6333,98.67,30,4,16.11,AU,2022-03-08 05:40:39,Hospitality Carnarvon
16,16,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.26,89,98,3.71,AR,2022-03-08 05:40:41,Hotel Gualok
17,17,Kabanjahe,3.1001,98.4908,70.56,85,100,2.53,ID,2022-03-08 05:40:42,Kos-Kosan wanita muslim bagoes kabanjahe
20,20,Kapaa,22.0752,-159.319,73.72,75,0,12.66,US,2022-03-08 05:40:44,Sheraton Kauai Coconut Beach Resort
23,23,Atuona,-9.8,-139.0333,78.71,81,19,15.7,PF,2022-03-08 05:40:45,Villa Enata
24,24,Mataura,-46.1927,168.8643,72.14,52,69,5.23,NZ,2022-03-08 05:40:46,Ellie's Villa
26,26,Hirara,24.8,125.2833,68.27,60,75,20.71,JP,2022-03-08 05:40:47,Hotel Atoll Emerald Miyakojima
27,27,New Norfolk,-42.7826,147.0587,62.91,35,66,3.0,AU,2022-03-08 05:40:47,The Shingles Riverside Cottages
29,29,Mount Gambier,-37.8333,140.7667,67.91,49,75,25.32,AU,2022-03-08 05:40:22,The Commodore
30,30,Kazerun,29.6195,51.6541,68.2,43,64,7.87,IR,2022-03-08 05:40:49,آپارتمان بزرگ اویسا
31,31,Fare,-16.7,-151.0167,81.41,74,69,14.58,PF,2022-03-08 05:40:49,Maitai Lapita Village Huahine
32,32,Harper,4.375,-7.7169,79.3,88,39,4.25,LR,2022-03-08 05:40:50,Screensaver
33,33,East London,-33.0153,27.9116,72.54,94,40,9.22,ZA,2022-03-08 05:39:50,Tu Casa
35,35,Hithadhoo,-0.6,73.0833,83.12,68,55,10.94,MV,2022-03-08 05:40:51,Scoop Guest House
36,36,Port Alfred,-33.5906,26.891,73.22,83,100,8.43,ZA,2022-03-08 05:40:52,The Halyards Hotel
37,37,Sao Luis Do Quitunde,-9.3183,-35.5611,74.64,83,22,1.86,BR,2022-03-08 05:40:52,Sao dos satos lins
39,39,Mahebourg,-20.4081,57.7,82.26,89,75,3.44,MU,2022-03-08 05:40:54,Shandrani Beachcomber Resort & Spa
41,41,Puerto Ayora,-0.7393,-90.3518,74.55,99,87,3.78,EC,2022-03-08 05:40:55,Finch Bay Galapagos Hotel
43,43,Chumphon,10.3333,98.8333,75.31,69,100,7.52,TH,2022-03-08 05:41:56,สกาน จ๋า.
48,48,Vaini,-21.2,-175.2,77.16,100,100,1.14,TO,2022-03-08 05:41:59,Keleti Beach Resort
49,49,Burnie,-41.0667,145.9167,69.93,52,56,7.25,AU,2022-03-08 05:41:59,Beachfront Voyager Motor Inn
50,50,Vila Velha,-20.3297,-40.2925,73.35,94,20,1.14,BR,2022-03-08 05:37:43,Hotel Vitória Palace
51,51,Buala,-8.145,159.5921,83.55,72,96,2.53,SB,2022-03-08 05:42:00,Maringe Lagoon Lodge
53,53,Avera,33.194,-82.5271,66.07,83,95,6.82,US,2022-03-08 05:42:01,
54,54,Sao Joao Da Barra,-21.6403,-41.0511,75.94,88,2,8.86,BR,2022-03-08 05:42:02,Pousada Porto De Canoas
55,55,Kohima,25.6667,94.1167,70.57,20,0,4.85,IN,2022-03-08 05:42:03,The Homestay
56,56,Bathsheba,13.2167,-59.5167,75.81,78,75,14.97,BB,2022-03-08 05:42:03,Atlantis Hotel
57,57,Upata,8.0086,-62.3989,70.2,95,100,2.84,VE,2022-03-08 05:42:04,Posada Villa Nela
58,58,Birin,26.8865,88.0718,75.04,19,0,7.31,NP,2022-03-08 05:42:04,Sangam hotel and lodge
59,59,Lorengau,-2.0226,147.2712,84.45,72,100,8.1,PG,2022-03-08 05:42:05,Lorengau Harbourside Hotel
60,60,Dabhol,17.6,73.1667,91.04,33,1,6.4,IN,2022-03-08 05:42:05,Ashwamedh Resort
62,62,The Valley,18.217,-63.0578,76.86,74,2,21.39,AI,2022-03-08 05:42:06,CeBlue Villas & Beach Resort
64,64,Pointe Michel,15.25,-61.3833,76.55,74,9,16.84,DM,2022-03-08 05:42:08,Castle Comfort Lodge Dive Dominica
65,65,Mayumba,-3.432,10.6554,79.99,88,100,5.64,GA,2022-03-08 05:42:08,LIKWALE LODGE
66,66,Broken Hill,-31.95,141.4333,76.71,41,30,21.85,AU,2022-03-08 05:42:09,Royal Exchange Hotel
67,67,Avarua,-21.2078,-159.775,73.45,100,75,4.61,CK,2022-03-08 05:42:10,Paradise Inn
70,70,Karratha,-20.7377,116.8463,97.05,38,4,16.75,AU,2022-03-08 05:42:11,ibis Styles Karratha
71,71,Ponta Do Sol,32.6667,-17.1,62.06,72,85,5.88,PT,2022-03-08 05:42:12,Hotel do Campo
75,75,Namatanai,-3.6667,152.4333,83.7,68,97,7.67,PG,2022-03-08 05:42:14,Seagulls Inn Namatani
76,76,Capitao Poco,-1.7464,-47.0594,71.73,99,100,2.33,BR,2022-03-08 05:42:14,Hotel New Tokyo
77,77,Puerto Baquerizo Moreno,-0.9,-89.6,78.13,83,67,9.1,EC,2022-03-08 05:42:15,Hotel los Algarrobos
78,78,Falam,22.9167,93.6833,83.32,23,10,2.57,MM,2022-03-08 05:42:15,Falang Government Guesthouse
79,79,Tucuman,-26.8241,-65.2226,64.4,88,100,0.0,AR,2022-03-08 05:37:47,Dallas Hotel Tucuman
80,80,Tecoanapa,16.5167,-98.75,75.49,72,64,4.18,MX,2022-03-08 05:42:16,Hotel Manglares
83,83,Port Elizabeth,-33.918,25.5701,71.1,100,75,6.91,ZA,2022-03-08 05:42:17,39 On Nile Guest House
85,85,Libertador General San Martin,-23.8064,-64.7876,71.98,99,100,0.78,AR,2022-03-08 05:42:19,Posada del Sol
86,86,Gulu,2.7746,32.299,79.11,55,86,8.77,UG,2022-03-08 05:42:19,ACHOLI INN
87,87,Georgetown,5.4112,100.3354,87.75,74,20,8.05,MY,2022-03-08 05:42:20,Cititel Penang
89,89,Busselton,-33.65,115.3333,89.04,39,26,6.42,AU,2022-03-08 05:43:21,Observatory Guest House
92,92,Pati,-6.7559,111.038,82.56,79,100,1.9,ID,2022-03-08 05:43:23,SPOT ON 2865 Sartika Inn Pati
94,94,Tignere,7.3667,12.65,70.81,56,92,3.15,CM,2022-03-08 05:43:24,SADECK
95,95,Cape Town,-33.9258,18.4232,66.11,81,0,13.8,ZA,2022-03-08 05:42:36,"Radisson Blu Hotel Waterfront, Cape Town"
96,96,Islamkot,24.6997,70.177,91.11,13,0,9.31,PK,2022-03-08 05:43:25,Haji Hotel
97,97,Hobart,-42.8794,147.3294,63.27,47,40,17.27,AU,2022-03-08 05:43:25,St Ives Hobart Accommodation Tasmania
98,98,Pundaguitan,6.3711,126.1689,80.76,81,69,8.19,PH,2022-03-08 05:43:26,Leonardo Family Beach House 1
101,101,Kollam,8.8833,76.6,85.87,59,39,4.29,IN,2022-03-08 05:43:28,The Raviz Ashtamudi
102,102,Labuhan,-6.8844,112.2051,86.09,69,99,4.47,ID,2022-03-08 05:43:28,DoubleFAG
108,108,Tezu,27.9167,96.1667,92.71,12,0,5.1,IN,2022-03-08 05:43:31,Circuit House
110,110,Samarai,-10.6167,150.6667,86.31,70,63,14.18,PG,2022-03-08 05:43:32,Nuli Sapi
111,111,Hervey Bay,-25.2986,152.8535,87.91,83,2,13.76,AU,2022-03-08 05:43:33,Shelly Bay Resort
113,113,Bosaso,11.2842,49.1816,76.98,65,0,24.16,SO,2022-03-08 05:43:33,Red Sea Hotel
118,118,Pastos Bons,-6.6017,-44.0767,69.84,97,94,2.51,BR,2022-03-08 05:43:36,Área de lazer casa (Pucina)
119,119,Thinadhoo,0.5333,72.9333,82.87,70,24,10.13,MV,2022-03-08 05:43:37,
121,121,Mumford,5.2618,-0.759,78.84,89,75,4.52,GH,2022-03-08 05:43:38,Spanish Villa
122,122,Adeje,28.1227,-16.726,60.31,64,20,6.91,ES,2022-03-08 05:43:39,Gran Tacande Wellness & Relax
124,124,Galle,6.0367,80.217,84.56,67,22,5.95,LK,2022-03-08 05:43:40,Amangalla
128,128,Tuatapere,-46.1333,167.6833,70.5,59,57,2.42,NZ,2022-03-08 05:43:42,Ron and Tony's Bed & Breakfast
129,129,Dharmanagar,24.3667,92.1667,96.19,17,0,3.24,IN,2022-03-08 05:43:42,Juri Lodge
131,131,Sur,22.5667,59.5289,85.73,33,0,9.04,OM,2022-03-08 05:43:43,Sur Plaza Hotel
134,134,Bengkulu,-3.8004,102.2655,84.94,64,79,7.02,ID,2022-03-08 05:44:45,Grage Hotel Bengkulu
138,138,Bluff,-46.6,168.3333,64.36,78,68,3.06,NZ,2022-03-08 05:44:47,Bluff Homestead - Guesthouse & Campervan Park
141,141,Cabo San Lucas,22.8909,-109.9124,67.51,70,0,6.53,MX,2022-03-08 05:43:49,Hotel Tesoro Los Cabos
143,143,Hobyo,5.3505,48.5268,81.72,59,10,16.6,SO,2022-03-08 05:44:50,Halane Hotel and Restaurent
144,144,Port Lincoln,-34.7333,135.8667,65.68,64,82,21.74,AU,2022-03-08 05:44:51,Port Lincoln Hotel
145,145,Adwa,14.1646,38.8955,73.31,17,81,3.96,ET,2022-03-08 05:44:51,Maay Assa Hotel
146,146,Manaure,11.7751,-72.4445,76.73,78,26,11.21,CO,2022-03-08 05:44:52,Hotel Palaaima
147,147,Alofi,-19.0595,-169.9187,82.29,83,70,4.61,NU,2022-03-08 05:44:52,Taloa Heights
148,148,Ngunguru,-35.6167,174.5,70.16,75,31,13.8,NZ,2022-03-08 05:44:53,Pacific Rendezvous Motel Resort
150,150,Fougamou,-1.2154,10.5838,75.88,97,100,0.98,GA,2022-03-08 05:44:54,Résidence d'Hôtes Bapedy
152,152,Rawson,-43.3002,-65.1023,60.12,68,35,9.48,AR,2022-03-08 05:44:55,Hosteria Sampedro
153,153,Sokolo,14.7328,-6.1219,67.24,18,43,10.96,ML,2022-03-08 05:44:55,
154,154,Fomboni,-12.28,43.7425,83.03,73,45,7.99,KM,2022-03-08 05:44:56,Auberge les abou
155,155,Saint-Philippe,-21.3585,55.7679,84.83,83,99,11.41,RE,2022-03-08 05:44:56,"Chambres d'hôte ""La Trinité"""
156,156,Auki,-8.7676,160.7034,82.27,80,100,1.16,SB,2022-03-08 05:44:57,Auki Motel
161,161,Souillac,-20.5167,57.5167,82.36,89,75,3.44,MU,2022-03-08 05:45:00,Shanti Maurice Resort & Spa
162,162,Ananindeua,-1.3656,-48.3722,76.91,94,40,3.44,BR,2022-03-08 05:45:00,Casa de Retiro Preciosinas
163,163,Namibe,-15.1961,12.1522,72.55,66,67,4.05,AO,2022-03-08 05:45:01,Hotel Chik Chik Namibe
168,168,Kutum,14.2,24.6667,73.58,14,99,4.52,SD,2022-03-08 05:45:04,Dibbo areaمنطقة دبو
170,170,Beira,-19.8436,34.8389,82.49,78,40,2.3,MZ,2022-03-08 05:45:05,Beira Terrace Hotel
171,171,Felipe Carrillo Puerto,19.5833,-88.05,71.35,99,6,2.19,MX,2022-03-08 05:45:05,Hotel La Ceiba
174,174,Saldanha,-33.0117,17.9442,60.85,84,0,10.94,ZA,2022-03-08 05:45:07,Blue Bay Lodge
177,177,Hongjiang,27.11,109.9956,73.87,38,0,6.4,CN,2022-03-08 05:45:08,洪江大酒店
180,180,Castro,-24.7911,-50.0119,64.63,88,48,1.45,BR,2022-03-08 05:46:09,CHACARA BAILLY
183,183,Kruisfontein,-34.0033,24.7314,68.88,84,96,3.51,ZA,2022-03-08 05:46:11,Oyster Bay House Rental
185,185,Padang,-0.9492,100.3543,87.85,64,89,6.17,ID,2022-03-08 05:43:31,Mercure Padang
186,186,Wanning,18.8003,110.3967,72.91,52,27,12.64,CN,2022-03-08 05:46:12,Paradise Hotel
188,188,Eyl,7.9803,49.8164,80.35,55,22,14.85,SO,2022-03-08 05:46:14,Amiin Hotel
189,189,Hanumangarh,29.5833,74.3167,84.58,21,6,6.67,IN,2022-03-08 05:46:15,SPOT ON 66636 Cps Resorts
190,190,Kavieng,-2.5744,150.7967,83.88,71,99,8.23,PG,2022-03-08 05:46:15,Nusa Island Retreat
191,191,Sigli,5.3848,95.9609,82.62,74,92,8.77,ID,2022-03-08 05:46:16,Losmen Dua Mali
192,192,Santa Maria,-29.6842,-53.8069,68.11,94,80,1.72,BR,2022-03-08 05:46:16,Hotel Morotin
194,194,Mapiripan,2.8892,-72.1256,76.08,66,72,3.62,CO,2022-03-08 05:46:17,Monserrate
197,197,Alice Springs,-23.7,133.8833,85.55,21,0,13.8,AU,2022-03-08 05:44:18,Desert Palms Alice Springs
199,199,Careiro Da Varzea,-3.2003,-59.8119,75.81,97,100,4.16,BR,2022-03-08 05:46:20,POUSADA DA ALDENORA
200,200,Huarmey,-10.0681,-78.1522,73.83,73,99,3.42,PE,2022-03-08 05:46:21,Hotel Miramar
201,201,Banfora,10.6333,-4.7667,78.51,17,9,7.4,BF,2022-03-08 05:46:22,Residences David Hebié
203,203,Ambilobe,-13.2,49.05,81.12,85,100,4.83,MG,2022-03-08 05:46:23,Hôtel & Restaurant DIANA Ambilobe
204,204,Lashio,22.9333,97.75,91.81,21,30,4.81,MM,2022-03-08 05:46:23,Hotel CF Lashio - Burmese Only
211,211,Butaritari,3.0707,172.7902,80.71,82,91,16.93,KI,2022-03-08 05:46:27,Isles Sunset Lodge
