City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Glendive,47.1053,-104.7125,32.63,75,100,17.25,US,2022-03-08 05:40:26
1,Hermanus,-34.4187,19.2345,68.81,76,97,13.62,ZA,2022-03-08 05:40:27
2,Thompson,55.7435,-97.8558,14.16,85,75,0.0,CA,2022-03-08 05:40:27
3,Grindavik,63.8424,-22.4338,32.47,100,100,27.63,IS,2022-03-08 05:40:28
4,Saint-Joseph,-21.3667,55.6167,83.82,79,99,10.96,RE,2022-03-08 05:40:28
5,Talara,-4.5772,-81.2719,76.77,80,55,1.9,PE,2022-03-08 05:40:29
6,Hamilton,39.1834,-84.5333,37.35,74,100,9.22,US,2022-03-08 05:39:52
7,Kampene,-3.6,26.6667,70.29,93,49,1.48,CD,2022-03-08 05:40:33
8,Sabha,27.0377,14.4283,61.97,44,1,21.14,LY,2022-03-08 05:40:37
9,Suez,29.9737,32.5263,61.38,58,96,6.85,EG,2022-03-08 05:40:37
10,Rikitea,-23.1203,-134.9692,79.47,74,3,13.8,PF,2022-03-08 05:40:38
11,Bredasdorp,-34.5322,20.0403,69.12,68,100,6.91,ZA,2022-03-08 05:40:38
12,Punta Arenas,-53.15,-70.9167,50.11,87,0,17.27,CL,2022-03-08 05:40:39
13,Carnarvon,-24.8667,113.6333,98.67,30,4,16.11,AU,2022-03-08 05:40:39
14,Narsaq,60.9167,-46.05,8.82,71,12,8.63,GL,2022-03-08 05:40:40
15,Upernavik,72.7868,-56.1549,3.58,95,100,4.41,GL,2022-03-08 05:40:40
16,Presidencia Roque Saenz Pena,-26.7852,-60.4388,73.26,89,98,3.71,AR,2022-03-08 05:40:41
17,Kabanjahe,3.1001,98.4908,70.56,85,100,2.53,ID,2022-03-08 05:40:42
18,Nikolskoye,59.7035,30.7861,7.92,94,95,2.04,RU,2022-03-08 05:40:42
19,Ushuaia,-54.8,-68.3,49.66,62,40,10.36,AR,2022-03-08 05:40:42
20,Kapaa,22.0752,-159.319,73.72,75,0,12.66,US,2022-03-08 05:40:44
21,North Bend,43.4065,-124.2243,46.94,94,40,6.91,US,2022-03-08 05:40:44
22,Chateauneuf-Les-Martigues,43.3833,5.1667,38.8,65,40,3.44,FR,2022-03-08 05:40:45
23,Atuona,-9.8,-139.0333,78.71,81,19,15.7,PF,2022-03-08 05:40:45
24,Mataura,-46.1927,168.8643,72.14,52,69,5.23,NZ,2022-03-08 05:40:46
25,Okhotsk,59.3833,143.3,12.97,81,12,9.64,RU,2022-03-08 05:40:46
26,Hirara,24.8,125.2833,68.27,60,75,20.71,JP,2022-03-08 05:40:47
27,New Norfolk,-42.7826,147.0587,62.91,35,66,3.0,AU,2022-03-08 05:40:47
28,Tasiilaq,65.6145,-37.6368,17.76,63,14,8.9,GL,2022-03-08 05:40:48
29,Mount Gambier,-37.8333,140.7667,67.91,49,75,25.32,AU,2022-03-08 05:40:22
30,Kazerun,29.6195,51.6541,68.2,43,64,7.87,IR,2022-03-08 05:40:49
31,Fare,-16.7,-151.0167,81.41,74,69,14.58,PF,2022-03-08 05:40:49
32,Harper,4.375,-7.7169,79.3,88,39,4.25,LR,2022-03-08 05:40:50
33,East London,-33.0153,27.9116,72.54,94,40,9.22,ZA,2022-03-08 05:39:50
34,Gornopravdinsk,60.05,69.9,-7.31,89,100,11.32,RU,2022-03-08 05:40:51
35,Hithadhoo,-0.6,73.0833,83.12,68,55,10.94,MV,2022-03-08 05:40:51
